City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Busselton,AU,68.0,few clouds,-33.65,115.3333,Observatory Guest House
4,Beitbridge,ZW,66.4,clear sky,-22.2167,30.0,PETERS MOTEL & CONFERENCE CENTRE
5,Ouahigouya,BF,84.13,scattered clouds,13.5828,-2.4216,Hotel Liberte
6,Atuona,PF,81.0,few clouds,-9.8,-139.0333,Villa Enata
13,Cidreira,BR,71.02,overcast clouds,-30.1811,-50.2056,Hotel Castelo
15,Tucupita,VE,73.35,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
16,Binabalian,PH,83.68,few clouds,16.4202,119.9279,Sundowners Vacation Villas
19,Odweyne,SO,68.94,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
20,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
21,Tura,IN,87.28,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
23,Biltine,TD,76.42,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
25,Tingo Maria,PE,68.79,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
27,Asuncion,PY,75.2,clear sky,-25.3007,-57.6359,Crowne Plaza Asuncion
29,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
30,Cabo San Lucas,MX,84.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
34,Ternate,ID,82.36,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
36,Port Alfred,ZA,66.47,scattered clouds,-33.5906,26.891,The Halyards Hotel
39,Callaguip,PH,87.8,few clouds,18.0714,120.4867,Pangil Beach Resort
40,Hilo,US,80.6,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
42,Touros,BR,77.0,light rain,-5.1989,-35.4608,INN NEW HORIZON
43,Puerto Ayora,EC,76.03,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Madang,PG,83.88,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
46,Tessalit,ML,84.24,clear sky,20.1986,1.0114,
47,East London,ZA,66.67,clear sky,-33.0153,27.9116,Tu Casa
49,Angoram,PG,85.64,overcast clouds,-4.0625,144.0661,
51,Mareeba,AU,87.01,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
54,Sao Filipe,CV,75.72,scattered clouds,14.8961,-24.4956,Tortuga B&B
55,Faanui,PF,82.18,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Wamba,NG,74.53,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
59,Ahipara,NZ,65.98,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
60,Rikitea,PF,78.58,few clouds,-23.1203,-134.9692,Pension Maro'i
62,Les Cayes,HT,72.27,clear sky,18.2,-73.75,Villa Orphee
64,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
66,Vieux-Habitants,GP,77.0,clear sky,16.0589,-61.7659,Gîtes Dardanelle
70,Karratha,AU,85.71,few clouds,-20.7377,116.8463,ibis Styles Karratha
71,Taoudenni,ML,82.33,clear sky,22.6783,-3.9836,
77,Meiktila,MM,89.51,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
78,Rawson,AR,66.92,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
80,Makakilo City,US,80.6,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
83,Pilar,BR,75.2,moderate rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
86,Najran,SA,77.0,clear sky,17.4924,44.1277,محمد هادي ال فطيح
87,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
88,Portel,BR,74.48,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
89,Gizo,SB,83.61,light rain,-8.103,156.8419,Imagination Island
91,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
92,Tautira,PF,82.4,broken clouds,-17.7333,-149.15,Pension Oaoa
94,San Patricio,US,75.99,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
95,Charters Towers,AU,83.98,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
96,Jagdalpur,IN,82.35,broken clouds,19.0667,82.0333,STARiHOTELS Geedam Road
97,Illela,NG,81.61,broken clouds,13.7292,5.2975,
98,Kavieng,PG,84.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
99,Libenge,CD,71.42,light rain,3.65,18.6333,
100,Lakatoro,VU,85.33,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
101,Pemangkat,ID,84.63,overcast clouds,1.1667,108.9667,Ramah Kost KITA
103,Geraldton,AU,73.4,clear sky,-28.7667,114.6,Broadwater Mariner Resort
104,Nakhon Si Thammarat,TH,88.0,few clouds,8.25,100.0,ร้านไอซ์โมสีshop
108,Avera,US,73.4,overcast clouds,33.194,-82.5271,
110,Carnarvon,AU,82.74,clear sky,-24.8667,113.6333,Hospitality Carnarvon
114,San Juan,AR,69.73,clear sky,-31.5375,-68.5364,Hotel Provincial
115,Batticaloa,LK,81.57,broken clouds,7.7102,81.6924,Grand Star Guest House
116,Vao,NC,74.95,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
119,Aguimes,ES,68.0,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
121,Jhalrapatan,IN,87.82,broken clouds,24.55,76.1667,Hotel Krishna Palace
123,Ouadda,CF,69.08,broken clouds,8.0777,22.4007,
124,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
125,Salalah,OM,77.0,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
126,Port Lincoln,AU,67.62,few clouds,-34.7333,135.8667,Port Lincoln Hotel
127,Coahuayana,MX,70.99,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
129,Basoko,CD,70.36,broken clouds,1.2391,23.616,Flat Hotel La Benediction
130,Kapoeta,SS,76.35,scattered clouds,4.7717,33.5903,Eastgate Hotel
132,Los Llanos De Aridane,ES,68.0,few clouds,28.6585,-17.9182,Valle Aridane
136,Pendencias,BR,74.41,broken clouds,-5.26,-36.7222,Cabanas Pousada
138,Acarau,BR,77.83,overcast clouds,-2.8856,-40.12,castelo pizzaria
139,Saint George,US,66.2,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
140,San Rafael Del Sur,NI,86.0,scattered clouds,11.8485,-86.4384,Hospedaje El Chino
142,Kavaratti,IN,83.89,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
143,Luis Correia,BR,78.44,overcast clouds,-2.8792,-41.6669,Hotel Amarração
153,Aragarcas,BR,73.4,clear sky,-15.8975,-52.2508,Hotel Pousada Tropical
157,Camana,PE,67.51,broken clouds,-16.6228,-72.7111,Hostal Morales
158,Dawei,MM,86.9,light rain,14.0833,98.2,Hotel Dawei
160,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
170,Butaritari,KI,82.0,light rain,3.0707,172.7902,Isles Sunset Lodge
171,Bengkulu,ID,83.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Tondano,ID,87.8,few clouds,1.3038,124.9112,Villa Bella
174,Alugan,PH,81.82,overcast clouds,12.2188,125.4808,JM Lodge
183,Bowen,AU,80.6,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
184,Joao Pinheiro,BR,67.84,overcast clouds,-17.7425,-46.1725,Hotel Santos
189,Fare,PF,82.27,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
191,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
192,Meulaboh,ID,83.44,broken clouds,4.1363,96.1285,Kost Pria
199,Kindu,CD,67.28,overcast clouds,-2.95,25.95,Résidence Okanda
203,Bonthe,SL,78.57,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
207,Saldanha,ZA,68.0,broken clouds,-33.0117,17.9442,Blue Bay Lodge
208,Kango,GA,72.43,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
209,Chanika,TZ,66.65,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
213,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
214,Okitipupa,NG,76.91,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
216,Belmonte,BR,71.6,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
217,Vanimo,PG,84.78,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
218,Qixingtai,CN,66.63,broken clouds,30.4135,111.8874,Sunny Hotel
220,Cayenne,GF,82.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
221,Mandera,KE,81.46,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
224,Alice Springs,AU,78.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
228,Victoria,HK,72.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
229,Inhambane,MZ,70.97,clear sky,-23.865,35.3833,Oceano
239,Red Bluff,US,71.6,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
243,Bull Savanna,JM,71.85,scattered clouds,17.8868,-77.5902,Big Red's
245,Pochutla,MX,81.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
248,Aripuana,BR,72.88,overcast clouds,-9.1667,-60.6333,
250,Mwense,ZM,65.05,overcast clouds,-10.3845,28.698,Mwense Council Guest House
252,Vaniyambadi,IN,76.73,moderate rain,12.6833,78.6167,Ahmedia Hotel™️ Since 1975
255,Hithadhoo,MV,82.09,scattered clouds,-0.6,73.0833,Scoop Guest House
256,Saint-Joseph,RE,75.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
257,Iberia,US,68.0,overcast clouds,29.9502,-91.7507,back to back rv park
259,Ngunguru,NZ,72.0,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
260,Mattru,SL,74.43,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
261,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
262,Samana,DO,72.41,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
265,Nago,JP,73.4,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
266,Ferkessedougou,CI,77.9,broken clouds,9.6,-5.2,Hotel Chateau
269,San Cristobal,VE,78.8,few clouds,7.7669,-72.225,Posada Villaven C.A.
273,Padang,ID,82.69,broken clouds,-0.9492,100.3543,Mercure Padang
276,Atambua,ID,81.43,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
277,Jacareacanga,BR,74.48,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
278,Sawakin,SD,73.83,broken clouds,19.1059,37.3321,فندق الدويم
279,Ha Giang,VN,77.29,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
281,Mayumba,GA,78.1,overcast clouds,-3.432,10.6554,LIKWALE LODGE
283,Richards Bay,ZA,71.31,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
284,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
285,Bundaberg,AU,78.8,clear sky,-24.85,152.35,Takalvan Motel
287,Airai,TL,72.37,broken clouds,-8.9266,125.4092,Juvinal Martin
289,Vila Velha,BR,73.4,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
292,Esperance,AU,66.2,broken clouds,-33.8667,121.9,Hospitality Esperance
293,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
294,Cartagena,CO,82.4,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
297,Sao Joao Da Barra,BR,69.13,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
301,Conde,BR,77.0,few clouds,-7.2597,-34.9075,Pousada Beija Flor
