City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.918,25.5701,59.0,94,90,4.61,fog
1,Busselton,AU,-33.65,115.3333,68.0,73,21,1.99,few clouds
2,Murmashi,RU,68.8154,32.8115,28.4,54,0,6.71,clear sky
3,Teya,RU,60.3778,92.6267,28.45,78,94,7.47,overcast clouds
4,Beitbridge,ZW,-22.2167,30.0,66.4,68,0,0.67,clear sky
5,Ouahigouya,BF,13.5828,-2.4216,84.13,30,50,9.28,scattered clouds
6,Atuona,PF,-9.8,-139.0333,81.0,73,14,19.66,few clouds
7,Ushuaia,AR,-54.8,-68.3,41.0,65,40,3.44,light snow
8,Korla,CN,41.7597,86.1469,62.29,20,9,9.4,clear sky
9,Mataura,NZ,-46.1927,168.8643,63.0,71,33,5.01,scattered clouds
10,Cape Town,ZA,-33.9258,18.4232,64.0,88,0,8.05,clear sky
11,Tiksi,RU,71.6872,128.8694,14.29,89,53,2.55,broken clouds
12,Severo-Kurilsk,RU,50.6789,156.125,38.91,93,100,24.05,light rain
13,Cidreira,BR,-30.1811,-50.2056,71.02,71,96,19.51,overcast clouds
14,Bredasdorp,ZA,-34.5322,20.0403,51.8,100,96,2.3,overcast clouds
15,Tucupita,VE,9.0622,-62.051,73.35,91,80,3.04,broken clouds
16,Binabalian,PH,16.4202,119.9279,83.68,68,18,2.04,few clouds
17,Tommot,RU,58.9564,126.2925,32.74,75,100,9.98,light snow
18,New Norfolk,AU,-42.7826,147.0587,54.0,73,14,1.99,few clouds
19,Odweyne,SO,9.4092,45.064,68.94,64,30,9.66,scattered clouds
20,Alofi,NU,-19.0595,-169.9187,82.4,61,40,5.75,scattered clouds
21,Tura,IN,25.5198,90.2201,87.28,39,92,6.6,overcast clouds
22,La Ronge,CA,55.1001,-105.2842,42.8,26,78,4.61,broken clouds
23,Biltine,TD,14.5333,20.9167,76.42,10,0,11.32,clear sky
24,Yulara,AU,-25.2406,130.9889,64.4,63,75,17.27,broken clouds
25,Tingo Maria,PE,-9.2895,-76.0088,68.79,98,100,1.97,overcast clouds
26,Provideniya,RU,64.3833,-173.3,23.0,68,0,4.47,clear sky
27,Asuncion,PY,-25.3007,-57.6359,75.2,88,0,3.44,clear sky
28,Kodiak,US,57.79,-152.4072,42.8,70,75,5.75,light rain
29,Avarua,CK,-21.2078,-159.775,82.4,65,20,6.91,few clouds
30,Cabo San Lucas,MX,22.8909,-109.9124,84.2,37,1,5.75,clear sky
31,Lagoa,PT,39.05,-27.9833,60.55,88,48,11.27,scattered clouds
32,Qaanaaq,GL,77.484,-69.3632,-11.49,61,0,7.83,clear sky
33,Biharamulo,TZ,-2.6319,31.3089,59.34,95,99,2.84,overcast clouds
34,Ternate,ID,0.8,127.4,82.36,76,39,10.33,scattered clouds
35,Albany,US,42.6001,-73.9662,57.2,54,75,1.83,broken clouds
36,Port Alfred,ZA,-33.5906,26.891,66.47,82,44,7.34,scattered clouds
37,Bluff,NZ,-46.6,168.3333,63.0,71,84,5.01,broken clouds
38,Valparaiso,CL,-33.0393,-71.6273,57.99,80,7,9.95,clear sky
39,Callaguip,PH,18.0714,120.4867,87.8,70,20,6.91,few clouds
40,Hilo,US,19.7297,-155.09,80.6,54,1,11.5,clear sky
41,Hermanus,ZA,-34.4187,19.2345,61.0,90,82,7.78,broken clouds
42,Touros,BR,-5.1989,-35.4608,77.0,94,20,3.44,light rain
43,Puerto Ayora,EC,-0.7393,-90.3518,76.03,90,24,3.24,few clouds
44,Madang,PG,-5.2246,145.7966,83.88,73,93,3.71,overcast clouds
45,Dikson,RU,73.5069,80.5464,-14.12,99,100,8.39,overcast clouds
46,Tessalit,ML,20.1986,1.0114,84.24,9,2,5.66,clear sky
47,East London,ZA,-33.0153,27.9116,66.67,84,3,6.73,clear sky
48,Lebu,CL,-37.6167,-73.65,54.75,92,100,3.96,light rain
49,Angoram,PG,-4.0625,144.0661,85.64,73,96,1.25,overcast clouds
50,Nokaneng,BW,-19.6667,22.2667,60.58,40,0,6.04,clear sky
51,Mareeba,AU,-17.0,145.4333,87.01,58,50,10.36,scattered clouds
52,Jurm,AF,36.8648,70.8342,52.23,69,100,1.41,overcast clouds
53,Coihaique,CL,-45.5752,-72.0662,42.21,97,27,6.38,scattered clouds
54,Sao Filipe,CV,14.8961,-24.4956,75.72,58,28,12.55,scattered clouds
55,Faanui,PF,-16.4833,-151.75,82.18,73,100,11.14,overcast clouds
56,Wamba,NG,8.9333,8.6,74.53,72,100,3.96,overcast clouds
57,Sterlibashevo,RU,53.4376,55.2578,45.07,71,3,5.75,clear sky
58,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,9.22,overcast clouds
59,Ahipara,NZ,-35.1667,173.1667,65.98,62,42,10.6,scattered clouds
60,Rikitea,PF,-23.1203,-134.9692,78.58,71,11,7.11,few clouds
61,Ponta Do Sol,PT,32.6667,-17.1,64.4,63,20,5.75,few clouds
62,Les Cayes,HT,18.2,-73.75,72.27,64,2,7.34,clear sky
63,Bjornevatn,NO,69.6672,29.9847,24.8,68,87,10.36,overcast clouds
64,Bathsheba,BB,13.2167,-59.5167,77.0,73,20,8.05,few clouds
65,Kruisfontein,ZA,-34.0033,24.7314,58.48,92,2,2.77,clear sky
66,Vieux-Habitants,GP,16.0589,-61.7659,77.0,94,8,2.3,clear sky
67,Talnakh,RU,69.4865,88.3972,11.68,92,100,11.52,light snow
68,Leh,IN,34.1667,77.5833,35.76,60,99,2.57,overcast clouds
69,Coquimbo,CL,-29.9533,-71.3436,59.0,88,90,1.14,overcast clouds
70,Karratha,AU,-20.7377,116.8463,85.71,48,24,16.93,few clouds
